"cantidad";"categoria_id";"codigo";"descripcion";"marca_id";"precioCosto";"utilidad_id";"precioPublico"
200;1;200001;"TORNILLO AUTOPERFORANTE C/WAFER P/AGUJA 8Xl/2";2;17.05;2;0.0
200;1;200002;"TORNILLO AUTOPERFORANTE C/WAFER P/AGUJA 8Xl";2;28.78;2;0.0
200;1;200003;"TORNILLO METRICO 3-0.5X4 PH";2;12.2;2;0.0
200;1;200004;"TORNILLO METRICO 3-0.5X5 PH";2;13.19;2;0.0
200;1;200005;"TORNILLO METRICO 3-0.5X6 PH";2;14.18;2;0.0
200;1;200006;"TORNILLO METRICO 3-0.5Xl 0 PH";2;18.12;2;0.0
200;1;200007;"TORNILLO METRICO 3-0.5Xl 5 PH";2;22.43;2;0.0
200;1;200008;"TORNILLO METRICO 3-0.5Xl 8 PH";2;24.67;2;0.0
200;1;200009;"TORNILLO METRICO 3-0.5X20 PH";2;28.04;2;0.0
200;1;200010;"TORNILLO METRICO 3-0.5X25 PH";2;28.58;2;0.0
200;1;200011;"TORNILLO METRICO 3-0.5X30 PH";2;32.85;2;0.0
200;1;200012;"TORNILLO METRICO 4-0.7X5 PH";2;19.44;2;0.0
200;1;200013;"TORNILLO METRICO 4-0.7X6 PH";2;20.64;2;0.0
200;1;200014;"TORNILLO METRICO 4-0.7X8 PH";2;22.88;2;0.0
200;1;200015;"TORNILLO METRICO 4-0.7Xl 0 PH";2;25.27;2;0.0
200;1;200016;"TORNILLO METRICO 4-0.7Xl 2 PH";2;27.51;2;0.0
200;1;200017;"TORNILLO METRICO 4-0.7Xl 8 PH";2;32.15;2;0.0
200;1;200018;"TORNILLO METRICO 4-0.7X20 PH";2;36.78;2;0.0
200;1;200019;"TORNILLO METRICO 4-0.7X30 PH";2;48.3;2;0.0
200;1;200020;"TORNILLO METRICO 4-0.7X35 PH";2;354.13;2;0.0
200;1;200021;"TORNILLO METRICO 4-0.7X40 PH";2;59.96;2;0.0
200;1;200022;"TORNILLO METRICO 4-0.7X45 PH";2;366.09;2;0.0
200;1;200023;"TORNILLO METRICO 4-0.7X50 PH";2;72.07;2;0.0
200;1;200024;"TORNILLO METRICO 4-0.7X55 PH";2;78.05;2;0.0
200;1;200025;"TORNILLO METRICO 4-0.7X60 PH";2;384.03;2;0.0
200;1;200026;"TORNILLO METRICO 4-0.7X65 PH";2;90.02;2;0.0
200;1;200027;"TORNILLO METRICO 4-0.7X70 PH";2;399.0;2;0.0
200;1;200028;"TORNILLO METRICO 5-0.8x8 PH";2;28.82;2;0.0
200;1;200029;"TORNILLO METRICO 5-0.8Xl 0 PH";2;31.51;2;0.0
200;1;200030;"TORNILLO METRICO 5-0.8Xl 2 PH";2;34.32;2;0.0
200;1;200031;"TORNILLO METRICO 5-0.8X15PH";2;37.12;2;0.0
200;1;200032;"TORNILLO METRICO 5-0.8X18PH";2;39.92;2;0.0
200;1;200033;"TORNILLO METRICO 5-0.8X2OPH";2;45.42;2;0.0
200;1;200034;"TORNILLO METRICO 5-0.8X25PH";2;52.37;2;0.0
200;1;200035;"TORNILLO METRICO 5-0.8X30PH";2;59.33;2;0.0
200;1;200036;"TORNILLO METRICO 5-0.8X35PH";2;66.28;2;0.0
200;1;200037;"TORNILLO METRICO 5-0.8X40PH";2;73.12;2;0.0
200;1;200038;"TORNILLO METRICO 5-0.8X45PH";2;80.07;2;0.0
200;1;200039;"TORNILLO METRICO 5-0.8X50PH";2;87.03;2;0.0
200;1;200040;"TORNILLO METRICO 5-0.8X55PH";2;93.98;2;0.0
200;1;200041;"TORNILLO METRICO 5-0.8X60PH";2;100.93;2;0.0
200;1;200042;"TORNILLO METRICO 5-0.8X65PH";2;107.88;2;0.0
200;1;200043;"TORNILLO METRICO 5-0.8X7OPH";2;114.83;2;0.0
200;1;200044;"TORNILLO METRICO 6-1X10PH";2;49.4;2;0.0
200;1;200045;"TORNILLO METRICO 6-1X12PH";2;53.07;2;0.0
200;1;200046;"TORNILLO METRICO 6-1X15PH";2;56.73;2;0.0
200;1;200047;"TORNILLO METRICO 6-1X18PH";2;60.71;2;0.0
200;1;200048;"TORNILLO METRICO 6-1X30PH";2;86.24;2;0.0
200;1;200049;"TORNILLO METRICO 6-1X35PH";2;95.46;2;0.0
200;1;200050;"TORNILLO METRICO 6-1X40PH";2;104.67;2;0.0
200;1;200051;"TORNILLO METRICO 6-1X45PH";2;114.09;2;0.0
200;1;200052;"TORNILLO METRICO 6-1X50PH";2;123.51;2;0.0
200;1;200053;"TORNILLO METRICO 6-1X55PH";2;131.88;2;0.0
200;1;200054;"TORNILLO METRICO 6-1X60PH";2;141.3;2;0.0
200;1;200055;"TORNILLO METRICO 6-1X65PH";2;150.72;2;0.0
200;1;200056;"TORNILLO METRICO 6-1X70PH";2;160.14;2;0.0
200;1;200057;"TORNILLO METRICO 8-1.25X18PH";2;112.15;2;0.0
200;1;200058;"TORNILLO METRICO 8-1.25X35PH";2;161.49;2;0.0
200;1;200059;"TORNILLO METRICO 8-1.25X55PH";2;218.91;2;0.0
200;1;200060;"TORNILLO METRICO 8-1.25X65PH";2;247.62;2;0.0
200;1;200061;"TORNILLO METRICO 8-1.25X70 PH";2;262.87;2;0.0
200;1;200062;"TORNILLO METRICO 3-0.5X4 CAB FRESADA";2;12.2;2;0.0
