categoria_id;marca_id;codigo;descripcion;cantidad;precioCosto;utilidad_id
1;2;200001;TORNILLO AUTOPERFORANTE C/WAFER P/AGUJA 8Xl/2;200;17.05;2
1;2;200002;TORNILLO AUTOPERFORANTE C/WAFER P/AGUJA 8Xl;200;28.78;2
1;2;200003;TORNILLO METRICO 3-0.5X4 PH;200;12.2;2
1;2;200004;TORNILLO METRICO 3-0.5X5 PH;200;13.19;2
1;2;200005;TORNILLO METRICO 3-0.5X6 PH;200;14.18;2
1;2;200006;TORNILLO METRICO 3-0.5Xl 0 PH;200;18.12;2
1;2;200007;TORNILLO METRICO 3-0.5Xl 5 PH;200;22.43;2
1;2;200008;TORNILLO METRICO 3-0.5Xl 8 PH;200;24.67;2
1;2;200009;TORNILLO METRICO 3-0.5X20 PH;200;28.04;2
1;2;200010;TORNILLO METRICO 3-0.5X25 PH;200;28.58;2
1;2;200011;TORNILLO METRICO 3-0.5X30 PH;200;32.85;2
1;2;200012;TORNILLO METRICO 4-0.7X5 PH;200;19.44;2
1;2;200013;TORNILLO METRICO 4-0.7X6 PH;200;20.64;2
1;2;200014;TORNILLO METRICO 4-0.7X8 PH;200;22.88;2
1;2;200015;TORNILLO METRICO 4-0.7Xl 0 PH;200;25.27;2
1;2;200016;TORNILLO METRICO 4-0.7Xl 2 PH;200;27.51;2
1;2;200017;TORNILLO METRICO 4-0.7Xl 8 PH;200;32.15;2
1;2;200018;TORNILLO METRICO 4-0.7X20 PH;200;36.78;2
1;2;200019;TORNILLO METRICO 4-0.7X30 PH;200;48.3;2
1;2;200020;TORNILLO METRICO 4-0.7X35 PH;200;354.13;2
1;2;200021;TORNILLO METRICO 4-0.7X40 PH;200;59.96;2
1;2;200022;TORNILLO METRICO 4-0.7X45 PH;200;366.09;2
1;2;200023;TORNILLO METRICO 4-0.7X50 PH;200;72.07;2
1;2;200024;TORNILLO METRICO 4-0.7X55 PH;200;78.05;2
1;2;200025;TORNILLO METRICO 4-0.7X60 PH;200;384.03;2
1;2;200026;TORNILLO METRICO 4-0.7X65 PH;200;90.02;2
1;2;200027;TORNILLO METRICO 4-0.7X70 PH;200;399;2
1;2;200028;TORNILLO METRICO 5-0.8x8 PH;200;28.82;2
1;2;200029;TORNILLO METRICO 5-0.8Xl 0 PH;200;31.51;2
1;2;200030;TORNILLO METRICO 5-0.8Xl 2 PH;200;34.32;2
1;2;200031;TORNILLO METRICO 5-0.8X15PH;200;37.12;2
1;2;200032;TORNILLO METRICO 5-0.8X18PH;200;39.92;2
1;2;200033;TORNILLO METRICO 5-0.8X2OPH;200;45.42;2
1;2;200034;TORNILLO METRICO 5-0.8X25PH;200;52.37;2
1;2;200035;TORNILLO METRICO 5-0.8X30PH;200;59.33;2
1;2;200036;TORNILLO METRICO 5-0.8X35PH;200;66.28;2
1;2;200037;TORNILLO METRICO 5-0.8X40PH;200;73.12;2
1;2;200038;TORNILLO METRICO 5-0.8X45PH;200;80.07;2
1;2;200039;TORNILLO METRICO 5-0.8X50PH;200;87.03;2
1;2;200040;TORNILLO METRICO 5-0.8X55PH;200;93.98;2
1;2;200041;TORNILLO METRICO 5-0.8X60PH;200;100.93;2
1;2;200042;TORNILLO METRICO 5-0.8X65PH;200;107.88;2
1;2;200043;TORNILLO METRICO 5-0.8X7OPH;200;114.83;2
1;2;200044;TORNILLO METRICO 6-1X10PH;200;49.4;2
1;2;200045;TORNILLO METRICO 6-1X12PH;200;53.07;2
1;2;200046;TORNILLO METRICO 6-1X15PH;200;56.73;2
1;2;200047;TORNILLO METRICO 6-1X18PH;200;60.71;2
1;2;200048;TORNILLO METRICO 6-1X30PH;200;86.24;2
1;2;200049;TORNILLO METRICO 6-1X35PH;200;95.46;2
1;2;200050;TORNILLO METRICO 6-1X40PH;200;104.67;2
1;2;200051;TORNILLO METRICO 6-1X45PH;200;114.09;2
1;2;200052;TORNILLO METRICO 6-1X50PH;200;123.51;2
1;2;200053;TORNILLO METRICO 6-1X55PH;200;131.88;2
1;2;200054;TORNILLO METRICO 6-1X60PH;200;141.3;2
1;2;200055;TORNILLO METRICO 6-1X65PH;200;150.72;2
1;2;200056;TORNILLO METRICO 6-1X70PH;200;160.14;2
1;2;200057;TORNILLO METRICO 8-1.25X18PH;200;112.15;2
1;2;200058;TORNILLO METRICO 8-1.25X35PH;200;161.49;2
1;2;200059;TORNILLO METRICO 8-1.25X55PH;200;218.91;2
1;2;200060;TORNILLO METRICO 8-1.25X65PH;200;247.62;2
1;2;200061;TORNILLO METRICO 8-1.25X70 PH;200;262.87;2
1;2;200062;TORNILLO METRICO 3-0.5X4 CAB FRESADA;200;12.2;2
1;2;200063;TORNILLO METRICO 3-0.5X5 CAB FRESADÅ;200;13.19;2
1;2;200064;TORNILLO METRICO 3-0.5X6 CAB FRESADA;200;14.18;2
1;2;200065;TORNILLO METRICO 3-0.5X8 CAB FRESADA;200;16.15;2
1;2;200066;TORNILLO METRICO 3-0.5XI 2 CAB FRESADA;200;20.1;2
1;2;200067;TORNILLO METRICO 3-0.5XI 5 CAB FRESADA;200;22.43;2
1;2;200068;TORNILLO METRICO 3-0.5XI 8 CAB FRESADA;200;24.67;2
1;2;200069;TORNILLO METRICO 3-0.5X20 CAB FRESADA;200;28.04;2
1;2;200070;TORNILLO METRICO 3-0.5X25 CAB FRESADA;200;28.58;2
1;2;200071;TORNILLO METRICO 3-0.5X30 CAB FRESADA;200;32.85;2
1;2;200072;TORNILLO METRICO 4-0.7X5 CAB FRESADA;200;19.44;2
1;2;200073;TORNILLO METRICO 4-0.7X8 CAB FRESADÅ;200;22.88;2
1;2;200074;TORNILLO METRICO 4-0.7XI 0 CAB FRESADA;200;25.27;2
1;2;200075;TORNILLO METRICO 4-0.7XI 2 CAB FRESADA;200;27.51;2
1;2;200076;TORNILLO METRICO 4-0.7XI 5 CAB FRESADA;200;29.91;2
1;2;200077;TORNILLO METRICO 4-0.7XI 8 CAB FRESADA;200;32.15;2
1;2;200078;TORNILLO METRICO 4-0.7X20 CAB FRESADA;200;36.78;2
1;2;200079;TORNILLO METRICO 4-0.7X30 CAB FRESADA;200;48.3;2
1;2;200080;TORNILLO METRICO 4-0.7X35 CAB FRESADA;200;54.13;2
1;2;200081;TORNILLO METRICO 4-0.7X45 CAB FRESADA;200;66.09;2
1;2;200082;TORNILLO METRICO 4-0.7X50 CAB FRESADA;200;72.07;2
1;2;200083;TORNILLO METRICO 4-0.7X55 CAB FRESADA;200;78.05;2
1;2;200084;TORNILLO METRICO 4-0.7X6O CAB FRESADA;200;84.03;2
1;2;200085;TORNILLO METRICO 4-0.7X65 CAB FRESADA;200;90.02;2
1;2;200086;TORNILLO METRICO 4-0.7X70 CAB FRESADA;200;96;2
1;2;200087;TORNILLO METRICO 5-0.8X8 CAB FRESADA;200;28.82;2
1;2;200088;TORNILLO METRICO 5-0.8XI 2 CAB FRESADA;200;34.32;2
1;2;200089;TORNILLO METRICO 5-0.8XI 8 CAB FRESADA;200;39.92;2
1;2;200090;TORNILLO METRICO 5-0.8X25 CAB FRESADA;200;52.37;2
1;2;200091;TORNILLO METRICO 5-0.8X30 CAB FRESADA;200;59.33;2
1;2;200092;TORNILLO METRICO 5-0.8X35 CAB FRESADA;200;66.28;2
1;2;200093;TORNILLO METRICO 5-0.8X4O CAB FRESADA;200;73.12;2
1;2;200094;TORNILLO METRICO 5-0.8X45 CAB FRESADA;200;80.07;2
1;2;200095;TORNILLO METRICO 5-0.8X50 CAB FRESADA;200;87.03;2
1;2;200096;TORNILLO METRICO 5-0.8X65 CAB FRESADA;200;107.88;2
1;2;200097;TORNILLO METRICO 6-1XI2 CAB FRESADA;200;53.07;2
1;2;200098;TORNILLO METRICO 6-1XI5 CAB FRESADA;200;56.73;2
1;2;200099;TORNILLO METRICO 6-1XI8 CAB FRESADA;200;60.71;2
1;2;200100;TORNILLO METRICO 6-1X30 CAB FRESADA;200;86.24;2
1;2;200101;TORNILLO METRICO 6-1X35 CAB FRESADA;200;95.46;2
1;2;200102;TORNILLO METRICO 6-1X40 CAB FRESADA;200;104.67;2
1;2;200103;TORNILLO METRICO 6-1X45 CAB FRESADA;200;114.09;2
1;2;200104;TORNILLO METRICO 6-1X50 CAB FRESADA;200;123.51;2
1;2;200105;TORNILLO METRICO 6-1X55 CAB FRESADA;200;131.88;2
1;2;200106;TORNILLO METRICO 6-1X60 CAB FRESADA;200;141.3;2
1;2;200107;TORNILLO METRICO 6-1X65 CAB FRESADA;200;150.72;2
1;2;200108;TORNILLO METRICO 6-1X70 CAB FRESADA;200;160.14;2
1;2;200109;TORNILLOS P/METALES C/TANQUE 1/8XI/4;200;9.51;2
1;2;200110;TORNILLOS P/METALES C/TANQUE I/8X5/I6;200;10.11;2
1;2;200111;TORNILLOS P/METALES C/TANQUE I/8X3/8;200;10.52;2
